,Seite,Textstelle,Metapher?,Fokus,Rahmen,"Stärkegrad (A, B, C)",Begründung/Kommentar,Annotator,Unnamed: 2,Semantikerweiterung?,Unersetzlich?,sprachlich irregulär?,pointiert?
631,," Die jüdischen Talmudgelehrten begnügten sich nicht damit, die Beobachtung der ausgedehnten Speisegesetze und sonstigen Ritualien zu fordern sondern bemühten dehnten Speisegesetze und sonstigen Ritualien zu fordern sondern bemühten sich durch immer weitere Ausdehnung jener Ge- und Verbote »einen Zaun um das Gesetz zu machen«, d. h. selbst solche Handlungen zu gebieten oder zu verbieten, welche nicht eigentlich unter jene Gesetze fielen, aber mit den dort gebotenen oder verbotenen irgend welche entfernte Ähnlichkeit hatten.",Metaphernkandidat,,,,"Die Anführungszeichen kitten den Bruch, finde ich. Wie bei einem direkten Vergleich",P,,,,,
632,," Wie jede Gewohnheit, die ursprünglich nur als Tatsache geübt wird, das Bestreben hat, sich zur Sitte zu verdichten, so ist auch hier aus einem »Ist« streben hat, sich zur Sitte zu verdichten, so ist auch hier aus einem »Ist« ein »Soll«, aus einem aus Zweckmäßigkeitsgründen geübten Brauch eine sittliche Regel geworden, die sich von Geschlecht zu Geschlecht fortgeerbt hat.",Metapher,sich zu verdichten,Sitte,B,"Bruch. sprachlich irregulär, pointiert. etwas kann sich zur Sitte entwickeln, aber verdichten? Sitte wird als etwas stoffliches beschrieben, das erzeugt eine Spannung",P,,,,,
633,," So wäre es denn nicht die Tatsache der Blutsverwandtschaft an sich, welche für die Nachkommenschaft eine ungünstige verwandtschaft an sich, welche für die Nachkommenschaft eine ungünstige Prognose bietet, sondern die Blutsverwandtschaft wird erst schädlich, wenn sie in einer mangelhaften Konstitution des Vaters und der Mutter einen geeigneten Boden findet.",Metapher,einen geeigneten Boden vorfinden,in einer mangelhaften Konstitution des Vaters und der Mutter,A,"Schwacher Bruch. Pointiert, sprachlich irregulär, aber der Ausdruck wäre durchaus ersetzbar. ""einen geeigneten Boden vorfinden"" erinnert mich ein bisschen an „ein bestelltes Feld“",P,,,,,
634,," Auch auf sie trifft zu, daß ihre Nachkommenschaft dem Staate Lasten auferlegt, die durch Gegenleistungen gar nicht oder nicht genügend ausgeglichen werden, da die Nach- leistungen gar nicht oder nicht genügend ausgeglichen werden, da die Nachkommen entweder schon in jungen Jahren sterben und in den Kosten ihrer kommen entweder schon in jungen Jahren sterben und in den Kosten ihrer Verpflegung und Erziehung ein Stück unfruchtbar angelegtes Nationalvermögen mit in’s Grab nehmen oder, selbst wenn sie in’s reifere Alter gelangen, doch infolge ihrer Kränklichkeit dem Staate meist weder wirtschaftlich noch sonst (durch Militärdienst oder Erzeugung gesunder Nachkommen) von Nutzen sind.",Metapher,unfruchtbar,ein Stück angelegtes Nationalvermögen,B,"Bruch, sprachlich irregulär, pointiert, Ausdruck nicht ersetzbar, ohne seine Wirkung zu untergraben",P,,,,,
635,," Wenn man die zahllosen Schwierigkeiten bedenkt, welche die Durchführung solcher staatlichen Eheverbote im Gefolge hätte und weiterhin die vielen von dem Einzelnen als schreiendes Unrecht verspürten Eingriffe, welche selbst die gerechteste und fachgemäßeste Ausübung der gesetzlichen Vorschriften auf diesem Gebiete mit sich brächte, so wird man wohl zur Erkenntnis gelangen müssen, daß das Gebiet der ehelichen Verbindung ein zu subtiles und zu inviduell verschiedenes ist, als daß es mit Erfolg zum Gegenstand staatlicher Regelung gemacht werden könne.",Metaphernkandidat,,,,„Gebiet“ erscheint mir schlicht ein Synonym für Bereich zu sein,P,,,,,
636,," Wenn man die zahllosen Schwierigkeiten bedenkt, welche die Durchführung solcher staatlichen Eheverbote im Gefolge hätte und weiterhin die vielen von dem Einzelnen als schreiendes Unrecht verspürten Eingriffe, welche selbst die gerechteste und fachgemäßeste Ausübung der gesetzlichen Vorschriften auf diesem Gebiete mit sich brächte, so wird man wohl zur Erkenntnis gelangen müssen, daß das Gebiet der ehelichen Verbindung ein zu subtiles und zu inviduell verschiedenes ist, als daß es mit Erfolg zum Gegenstand staatlicher Regelung gemacht werden könne.",Metaphernkandidat,,,,Stelle ist doppelt,P,,,,,
637,, Die Statistik ist in der Lage dieses schlagend zu beleuchten.,Metapher,schlagend,beleuchtend,B,"Bruch. Sprachlich irregulär, pointiert. Ausdruck nicht ersetzbar. „schlagen“ und „beleuchtend“ passt überhaupt nicht zusammen, die Ausdrücke arbeiten so stark gegeneinander.",P,,,,,
638,," Schon in der ersten Schrift dieser Art, der 1516 erschienenen Schrift »De optimo reipublicae statu deque nova insula Utopia« des Thomas Morus wird verlangt, daß vor der Vermählung die Nupturienten sich einer Prüfung unterziehen, welche sich auf ihren körperlichen Bau und ihre Schönheit erstreckt, und ferner ist vorgeschrieben, daß lichen Bau und ihre Schönheit erstreckt, und ferner ist vorgeschrieben, daß vor der Hochzeit Braut und Bräutigam einander in Gegenwart ehrbarer alter Matronen unbekleidet gegenüber gestellt werden, damit sie ihren Körperbau und etwaige verborgene körperliche Mängel nicht erst in der Ehe bemerken und in die Ehe dadurch der Keim der Zwietracht gelegt wird.",Metapher,Keim der Zwietracht,in die Ehe gelegt wird,,,P,,,,,
639,," Es muß dem Einzelnen durch die Staatsinstitutionen täglich aufs neue klar werden, daß sein Gedeihen vom Staate in bestmöglicher und vernünftiger Weise gefördert wird deihen vom Staate in bestmöglicher und vernünftiger Weise gefördert wird und vom Gedeihen des Staates abhängt.",Metaphernkandidat,,,,Kein Bruch,P,,,,,
640,," Selbst wenn wir einmal annehmen, dies sei der Fall, so hat dafür die gesetzliche Regelung auch Nachteile im Gefolge, welche bei dem von uns empfohlenen Wege vermieden werden.",Metaphernkandidat,,,,"„Nachteile im Gefolge“ klingt zwar ungewöhnlich, ich sehe jetzt aber keinen Bruch",P,,,,,
641,," Gesetzliche Vorschriften haben erstens immer die Tendenz, die Tatsachen mehr nach ihrer äußerlichen Seite zu fassen und Verhältnisse von sehr ungleichartiger innerer Beschaffenheit über denselben Kamm zu scheeren.",Metaphernkandidat,,,,über denselben Kamm scheren ist eine Redewendung,P,,,,,
642,, Sie [die Anpassung] kann auf geringfügige Änderungen der natürlichen Lebensbedingungen mit korrespondierenden kleinen Änderungen der Organisation antworten; aber sie versagt bei größeren Änderungen und tritt die Herrschaft dann gänzlich an die natürliche Auslese ab.,Metapher,tritt die Herrschaft dann gänzlich an die natürliche Auslese ab,Sie [die Anpassung],B,"Bruch, sprachlich irregulär, pointiert, semantishe Erweiterung, Die Anpassung  wird als konkurrierender Herrscher dargestellt. Das würde man nicht erwarten und es stößt auf",P,,,,,
643,," In dem Moment, wo sperma und ovum im Uterus der Mutter zu einer Zelle verschmelzen, ist »die Statue gegossen,« sagt Hegar1), »und was noch weiter geschieht, ist nur eine feinere Ausarbeitung und Ziselierung.",Metapher,ist die Statue gegossen,"In dem Moment, wo sperma und ovum (..) verschmelzen",B,"Sprachlich irregulär, pointiert. Hier werden zwei verschiedene Dinge miteinander identifiziert, ohne dass die explizit als Vergleich beschrieben wird, sodass der ganze Ausdruck heraussticht",P,,,,,
644,," »Beim Menschen scheint das Kind gar nichts mitzubringen, sondern alles erst zu lernen; in der Tat aber bringt es alles oder doch unendlich viel mehr mit als das fix und fertig aus dem Ei kriechende Tier, aber es bringt alles in unreifem Zustande mit, weil des zu Entwickelnden bei ihm so viel ist, daß es in den 9 Monaten des Embryolebens nur erst im Keime vorgebildet sein kann.",Metaphernkandidat,,,,"Ich bin mir nicht sicher, inwiefern „im Keim vorgebildet“ nicht einfach ein jargonhafter Ausdruck ist",P,,,,,
645,," So geht nun das Reisen der Dispositionen bei fortschreitender Ausbildung des Säuglingsgehirns mit dem Lernen, tionen bei fortschreitender Ausbildung des Säuglingsgehirns mit dem Lernen, d. h. mit dem Nachmeißeln dieser Dispositionen durch Übung Hand in Hand und erzielt dadurch ein weit reicheres und saubereres Endresultat als die bloße Vererbung bei den Tieren vermag« 2).",Metapher,Nachmeißeln,dieser Dispositionen,B,"Sprachlihc irregulär, pointiert. Eine Fortsetzung der Statuenmetapher weiter oben?",P,,,,,
646,," Kommt der Mensch mit ganz bestimmten Bildungsanlagen und -trieben zur Welt, so muß die Erziehung sich der Schranken bewußt bleiben, welche ihr hierdurch gesetzt sind.",Metaphernkandidat,,,,Redewendung,P,,,,,
647,," Man kann auf diese Weise eine böse Anlage, z. B. die Neigung zur Grausamkeit, nie eigentlich ganz ertöten und aus der Psyche des Kindes ausmerzen; sie bleibt stets darin, töten und aus der Psyche des Kindes ausmerzen; sie bleibt stets darin, aber sie wird unschädlich, weil sich als Frucht guter Erziehung im Kinde jetzt bei jeder aufsteigenden Neigung zu einer grausamen Handlung durch Gedankenassoziation zugleich abmahnend ein ganzer Komplex von Vorstellungen erhebt, welche jenen Wunsch als schlecht, als verachtenswert, als von bösen Folgen begleitet erscheinen und ihn deshalb nicht zur Tat werden lassen.",Metapher,ganz ertöten,"eine böse Anlage, z.B. die Neigung zur Grausamkeit",B,"Sprachlich irregulär, pointiert. Etwas abstraktes als lebendes Wesen, das man töten kann bzw. dann eigentlich doch nie töten kann. Das irritiert stark",P,,,,,
648,," Es ist nicht immer nötig, daß dieser der schlechten Neigung entgegenstehende Vorstellungskomplex durch Erziehung und Erzieher bewußt hervorgebracht wird ; das Kind saugt diese Vorstellungen, sobald es sich in einer dazu Anlaß gebenden Umgebung befindet, von lungen, sobald es sich in einer dazu Anlaß gebenden Umgebung befindet, von selbst ein, es erzieht sich in einem guten Milieu durch Nachahmung und Gewöhnung gewissermaßen allein.",Metapher,saugt ein,diese Vorstellungen,A,"Bruch, sprachlich irregulär, pointiert. Vorstellungen werden wie Muttermilch behandelt. Das ist unerwartet und sticht ins Auge",P,,,,,
649,," Solange jene Neigung nicht zur alles verzehrenden Leidenschaft geworden ist und die gleichzeitig geweckten Vorstellungen stark genug sind, werden sie in vielen Fällen die weckten Vorstellungen stark genug sind, werden sie in vielen Fällen die Neigung, falls sie schlecht ist, besiegen und die schlechte Tat unausgeführt lassen.",Metaphernkandidat,,,,"ich bin mir nicht sicher, ob „alles verzehrende Leidenschft“ nicht einfach eine schwülstige Floskel ist",P,,,,,
650,," Die Schulen sind aber für diese Masse, nicht für das einsame Genie, das sich übrigens seinen Weg auch ohne Schule und gegen die Schule bricht.",Metapher,bricht,seinen Weg gegen die Schule,A,"Sprachlich irregulär, pointiert. ABer ""sich seinen Weg brechen"" ist ein so geläufiger Ausdruck, dass ich mir nicht ganz sicher bin, ob das eine Metapher ist. Die Schule als Hindernis erzeugt aber eine Spannung, weil Schule eigentlich das Gegenteil sein sollte",P,,,,,
651,," Wenn man etwa befürchtet, daß dann in den Schulen schon die Kinder mit gewissen den Regierenden genehmen Anschauungen vollgepfropft würden, so ist zu sagen, daß Mißbrauch mit jeder noch so vernünftigen Maßregel getrieben werden kann.",Metapher,vollgepropft würden,Dass Kinder mit gewissen Anschauungen,A,"Bruch. Sprachlihc irregulär, pointiert. Aber nicht unersetzlich: es gibt auch viele ähnliche Ausdrücke, die denselben Bruch erzeugen wie etwas „vollstopfen“ oder „einimpfen“",P,,,,,
652,," Was wir meinen, ist nur dies, daß die Kindererziehung sich in das ganze soziale Getriebe organisch einfügen muß und daß sie, wenn sie dies tut, keinen anderen Zweck haben kann als die Kinder so auszubilden, daß sie nachher - jeder zu seinem Teile — zur Förderung der Zwecke des Staates empfänglich und geeignet sind. eignet sind.",Metapher,sich organisch einfügen,in das ganze soziale Getriebe,B,"Bruch.sprachlich irregulär, pointiert",P,,,,,
653,," Er muß damit rechnen, daß die einzelnen Volksgenossen bereits mit vielen festgewurzelten Vorstellungen erfüllt sind, die sich nicht einfach ignorieren lassen, sondern sich als sogenannte Tradition (dieses Wort nicht im engeren Sinne als mündliche Überlieferung, sondern im weiteren Sinne als die gesamte nichtphysiologische Überkommenschaft unserer Vorfahren genommen) der Aufnahme neuer andersartiger Vorstellungen als ein mächtiges nommen) der Aufnahme neuer andersartiger Vorstellungen als ein mächtiges Hindernis entgegenstellen.",Metaphernkandidat,,,,"Tote Metapher, eher Redewendung",P,,,,,
654,," Stehen wir durch die Vererbung körperlich in einem Zusammenhange mit den Vorfahren, die in den vielen Jahrtausenden vor uns lebten, so haben wir in der Tradition deren geistige Hinterlassenschaft; und wie wir uns körperlich nicht von unseren Ahnen emancipieren schaft; und wie wir uns körperlich nicht von unseren Ahnen emancipieren können, so leben und weben wir in ihrer geistigen Hinterlassenschaft als einem unverrückbaren Medium.",Metapher,leben und weben wir,in ihrer geistigen Hinterlassenschaft,B,"""leben und weben"" erzeugt eine Erwartung auf einen physischen Ort, die ""geistige Hinterlassenschaft"" ist weder physisch, noch überhaupt so wirklich  ein Ort",P,,,,,
655,," Das intelligenteste Europäerkind wird unter einem Stamm von Wilden nie auch nur entfernt das Wissen und die Erfahrung eines gebildeten Europäers erreichen, weil ihm das Medium fehlt, aus dem es dieses Wissen und diese Erfahrung saugen könnte.",Metapher,saugen,Wissen,A,"Bruch, sprachlich irregulär, pointiert",P,,,,,
656,," Keine von ihnen ist die Errungenschaft einer einzigen Generation, vielmehr sind sie alle das gemeinsame Produkt vieler zigen Generation, vielmehr sind sie alle das gemeinsame Produkt vieler Generationen, von denen die eine immer auf den Schultern der früheren steht und von denen jede ihr Scherflein zu dem heutigen Stande beigetragen hat.",Metaphernkandidat,,,,etablierte Redewendungen,P,,,,,
657,," Unsere größten Erfinder holten ihre Erfindungen nicht vom Himmel herab wie in der Sage Prometheus das Feuer, sondern ihre Erfindungen bildeten allemal nur die Fortsetzung einer langen Reihe von Entdeckungen, die in ununterbrochener Kette bis in das Dunkel der entferntesten Zeiten zurückreichen.",Metapher,Dunkel,der entferntesten Zeiten,B,"Bruch. Sprachlich irreguär, pointiert",P,,,,,
658,," Dies ist jedoch ein Mißverständnis, da das Leben unzivilisierter Völker nach allen Richtungen hin verständnis, da das Leben unzivilisierter Völker nach allen Richtungen hin durch die Schranken des Herkommens gefesselt ist.«",Metapher,gefesselt,durch Schranken,B,"Bruch. Sprachlich irregulär, pointiert, Ausdruck nicht ersetzbar. Schranken schränken ein und begrenzen. Aber fesseln? Ich sehe das als Bruch",P,,,,,
659,," Aber die Gestalten und Bilder, welche einmal in seine Seele gefallen sind, arbeiten doch unablässig, ihn zu leiten, oft hat er sich gegen ihre Herrschaft zu wehren, in tausend Fällen folgt er fröhlich ihrem leisen Zuge.",Metapher,"in sein Seele gefallen, ihre Herrschaft",Gestalten und Bider,B,"Bruch, sprachlich irregulär, pointiert Ausdruck nicht ersetzbar",P,,,,,
660,," Die Sollvorschrift bildet dann gewissermaßen die Hülle oder Schale, die sich unverändert erhält, während der Kern grundlegende Veränderungen erfahren verändert erhält, während der Kern grundlegende Veränderungen erfahren hat.",Metaphernkandidat,,,,,P,,,,,
661,," Überall machen sich starke Bestrebungen geltend, die überkommenen Sitten und Gebräuche gegenüber der nagenden Vernunft aufrecht zu erhalten.",Metapher,nagende,Vernunft,B,"Bruch. sprachlich irregulär, pointiert, semantische Erweiterung, Ausdruck nicht ersetzbar. „Die Vernunft nagt“ klingt sehr ungewöhnlich. Erinnert aber auch an den Ausdruck „nagende Zweifel“",P,,,,,
662,," Oft genug ist derjenige, der sich in der Jugend einst knirschend gegen die Macht des Hergebrachten aufbäumte, gar nicht genug über diese Vergewaltigung durch die Schatten der Vergangenheit klagen konnte, mit gereifterer Lebensanschauung froh gewesen, daß die Wirklichkeit seinem Ansturme Stand hielt anschauung froh gewesen, daß die Wirklichkeit seinem Ansturme Stand hielt und ihn in ihre Geleise zwang.",Metapher,"Durch Schatten der Vergangenheit,seinem Ansturme Stand hielt,ihre [der Wirklichkeit] Gleise","Vergewaltigung,Wirklichkeit,zwingen",,,P,,,,,
663,," Wie aber wäre dies möglich, da wir bis zur letzten Zelle unseres körperlich-geistigen Baues geschichtliche Wesen sind?",Metapher,geistigen,Bau,A,"Bin nicht sicher. sprachlich nicht so irregulär, eher floskelhaft, aber pointiert.",P,,,,,
